userName,password,email,name,surname,dateOfBirth,gender,maritalState,hasKids,hasPets,extrovert,natureLover,museumLover,sportLover
williamsdavid,VCipnO6q%&,victoriabenjamin@example.com,Melanie,Miller,1959-06-13,Female,Married,1,1,1,0,0,0
huntjenny,_2vvAp3rVU,george01@example.org,Michael,Strickland,1970-02-14,Other,Single,1,1,0,0,0,0
renee99,FOd9MoN&(!,kathyadams@example.com,Christopher,Snyder,1945-12-27,Female,Single,0,1,0,1,0,1
andrea89,O(S+zHql)9,mccarthyricardo@example.org,Rodney,Kerr,1962-10-06,Other,Single,0,1,1,0,0,1
shannoncohen,z%0(eKLe+&,dustinmarshall@example.net,Craig,Horn,2004-12-06,Female,Married,0,0,0,0,0,0
tturner,w$8CSCIr^n,patricia45@example.com,Andrea,Green,1991-06-01,Female,Single,1,0,0,1,1,0
kelsey54,fOC&3^olM_,bmartinez@example.org,Amy,Cox,1955-03-15,Female,Single,1,1,1,1,0,0
isimmons,CfcD9LN9*8,yreyes@example.net,Kaitlyn,Hernandez,1961-11-18,Female,Married,1,0,1,1,0,0
melissajoseph,wjo9tRaz(q,randy78@example.com,Eric,Green,1970-05-26,Other,Married,0,1,0,1,1,1
rbullock,@%%eVjmHP5,shane39@example.net,Amanda,Newton,1965-02-07,Female,Married,0,1,1,1,0,0
deborah23,p)^4HrGhm!,eric01@example.net,Tammy,Harris,1989-06-17,Male,Divorced,0,0,1,0,1,1
fosterdwayne,0nSP8Xh__E,kevinwade@example.net,Ashley,Cole,1990-01-08,Male,Married,0,1,1,1,0,0
julie54,@^uOZnI50f,doriscarpenter@example.org,Paul,Pena,1954-08-10,Female,Divorced,1,0,1,0,1,1
leesharon,#nw)3CBw^6,luismatthews@example.com,Joshua,Bell,1987-01-24,Other,Single,0,0,0,0,1,0
nicholsjill,)GoM5tpw%3,bradley03@example.net,Brian,Marquez,1978-11-23,Other,Divorced,0,0,1,1,1,0
lisa01,^cw5xKoAbc,norrisdonna@example.net,Andrew,Strickland,1999-05-29,Female,Divorced,0,0,1,1,0,1
johnsonchad,&3@ROkvr#a,johnpeterson@example.com,David,Gibson,1979-01-12,Male,Divorced,0,1,0,1,1,0
jchambers,&W^tWwme%3,nroberts@example.net,Judith,Sims,1989-12-08,Male,Married,1,1,1,0,0,0
carterzoe,@q)w0EkDC(,markparker@example.org,Jason,Barber,1977-05-03,Other,Divorced,1,0,0,0,1,1
aprilperry,gRRkfFDf+2,laurenwhite@example.net,Patricia,Gonzalez,1969-01-10,Other,Single,0,0,1,1,1,1
colleen50,bRCfGosj$0,rodriguezjohn@example.net,Adrian,Johnson,1972-03-28,Female,Married,0,1,1,1,1,1
anthony34,okguhKLB!3,ddelgado@example.net,Angela,Rodriguez,1951-07-12,Female,Divorced,0,1,0,0,1,1
duranronald,4r5J*Yn6!8,masonbethany@example.com,Derrick,Nelson,1986-04-08,Male,Single,1,0,0,1,1,0
barryholden,+(XB6VSr1P,marc17@example.org,Stacy,Mills,1961-03-31,Female,Married,0,0,1,0,1,1
ubradley,Hc8Vq7X9*H,jessicablackwell@example.org,Shane,Savage,1955-08-25,Male,Single,1,0,0,0,0,1
donna86,%9@XDLkkuP,lowerykristin@example.org,Stephanie,Washington,1953-08-24,Other,Divorced,0,0,1,0,1,1
harrellmarcus,#CRRbfDbl9,cwright@example.com,Regina,Santiago,1968-04-10,Female,Married,1,0,0,1,0,1
ebraun,@3PJN2PpK%,louishernandez@example.com,Richard,Simon,1956-09-21,Male,Divorced,1,1,1,1,0,0
garciajennifer,9igTk7fa*R,krivers@example.net,Gina,Hill,2000-07-15,Other,Divorced,1,0,0,1,1,1
joseph68,4Xl5vWZn!@,zbray@example.org,Christopher,Allen,1988-02-03,Male,Married,0,1,1,1,0,1
williamsjill,m4(y8wRuHy,newmanchristopher@example.net,Karen,Johnson,2000-08-10,Male,Divorced,0,1,1,1,0,1
craigtyler,IeN#9CdgXo,alex15@example.net,William,Duncan,1996-04-27,Male,Married,0,0,1,1,1,1
adamsmonica,XA6VUMHs(8,ssawyer@example.com,Nicholas,Roman,1955-10-15,Male,Divorced,1,0,0,1,0,1
luissmith,+vbEKxHt3D,kwillis@example.net,Makayla,Williams,1992-05-22,Other,Divorced,1,1,1,0,0,1
hardyjeffrey,#89+B&iE)m,daniellethompson@example.com,Tonya,Richardson,1964-02-27,Other,Married,1,1,1,0,1,0
vbush,+(w3KLO6jx,brittany49@example.net,Austin,Fisher,1953-06-20,Male,Divorced,0,1,1,0,0,1
tracy53,)Qo3V4au)4,lindamurphy@example.net,James,Walker,1958-03-12,Male,Single,0,0,1,1,1,1
jonesjulia,8JIJ2Ni+_Y,gomezrebecca@example.com,Courtney,Watkins,1945-06-11,Other,Married,0,0,0,1,1,0
iwolfe,b&3B+Au2WW,twhitehead@example.org,Kelly,King,1954-10-18,Other,Single,1,1,0,1,1,1
williamsonmackenzie,B4#BMvCN*3,xgarrett@example.com,April,Combs,1984-06-11,Female,Married,0,1,1,1,1,0
alexandergomez,^1ZAhCv&W^,justinwright@example.net,Kelly,Ross,1983-08-09,Male,Single,1,0,1,0,1,1
brandonlee,5N!WZtwS)f,amy62@example.org,Tamara,Castillo,1986-06-17,Female,Single,0,0,0,0,1,0
rachaeldavis,nmEK0GIi^3,jackmartinez@example.org,Jared,Duran,1952-09-05,Other,Divorced,1,0,0,1,0,0
khernandez,&ev1G^oiAw,jonesjulie@example.net,Robert,Garcia,1951-03-09,Other,Divorced,1,1,0,1,1,1
ryan18,v*4rXlwD&C,oneilljill@example.net,Corey,Torres,2006-05-06,Female,Single,0,0,0,1,0,1
jose99,)G0REtwWN2,sherri44@example.net,David,Stephenson,2004-10-23,Other,Married,0,0,1,0,1,0
tcox,k4u#zxKx%v,fbradley@example.org,Julie,Bray,1970-04-24,Male,Single,1,0,1,1,1,1
bvaughn,iv#VV9Aq!5,lynnmcneil@example.com,Billy,Chavez,1964-06-23,Male,Single,0,1,1,0,1,1
nicholassloan,L4WYld+j^n,kelly33@example.com,Autumn,Stanley,1991-05-19,Female,Married,1,1,0,0,0,1
juliebrown,_3wt5sIz%$,dvaldez@example.net,Jillian,Price,1982-11-12,Female,Married,0,1,0,1,0,1
wilsonjulia,9_Zw9uCG4g,kristenball@example.org,Lisa,Gillespie,1945-09-24,Female,Divorced,1,1,1,0,1,1
rosedana,k@f58WFnBR,steven30@example.com,Ronnie,Adams,1955-02-15,Female,Divorced,1,0,0,0,1,1
adam50,*+B4RA^m^3,lisa62@example.com,Frank,Bonilla,1971-05-24,Other,Single,0,0,1,1,0,0
zachary84,(XU8Ce*l9T,jasondavis@example.com,Corey,Gutierrez,1984-10-01,Female,Single,0,0,1,1,0,0
karen61,bJEJZIxx_1,isaacross@example.org,Elizabeth,Martin,1987-02-27,Other,Single,1,0,1,0,0,0
danielwood,_Wsi4En)75,colemanmargaret@example.org,Joseph,Tucker,1976-06-19,Male,Single,1,0,0,0,1,0
aguilarjonathan,_24Y%dzlyl,ksimpson@example.org,Christopher,Fernandez,2001-10-13,Other,Married,0,1,1,1,0,1
kyleaguilar,^0WIjcUos5,jamesdebra@example.org,Dylan,Hernandez,1970-01-15,Male,Single,0,0,0,1,0,0
ecrawford,$7ilj53dIM,benjaminmullins@example.org,Pamela,Morgan,1975-11-10,Other,Divorced,1,0,0,0,0,0
yallen,UXj+4eNkka,bsosa@example.com,Aaron,Smith,1999-03-01,Male,Divorced,1,0,0,0,0,1
jonowen,o7O2fUvf+i,alexandra86@example.org,Steven,Johnson,1985-02-22,Female,Married,0,0,0,0,1,1
marktaylor,HTZ1EXff7_,scott76@example.net,Rachel,Duran,1953-12-16,Other,Divorced,1,0,1,0,1,0
tsolomon,KO&URwVE^9,sreed@example.net,Seth,Salinas,1969-07-31,Male,Married,1,1,1,1,0,0
larry18,@WAX@T&t4D,monique80@example.com,John,Miller,1980-10-27,Female,Divorced,0,1,1,1,1,0
dorseystephanie,*y3LHynx)4,elizabethsanders@example.org,Laura,Miller,1983-03-24,Male,Single,0,1,1,1,1,0
andrewsmith,M1bXb#lg+g,richard21@example.org,Alan,Merritt,1978-11-21,Female,Married,1,1,1,0,0,0
xsimmons,h#6$PyfR$G,wmaxwell@example.com,Kristine,Mcdonald,1963-09-27,Male,Married,0,1,1,1,1,0
josephcrawford,siRg%ck&&0,navarropatricia@example.com,Beth,Jackson,1969-06-06,Other,Divorced,1,1,1,1,1,0
kellidavis,NB&x(3PfSr,matthewramos@example.com,Deborah,Atkins,1991-06-22,Female,Divorced,1,1,0,0,0,0
patricia02,^H4*ypAcSR,cynthiawalker@example.net,Kenneth,Washington,1982-04-08,Male,Single,1,1,0,0,0,1
beckyduarte,5JP$RwdY)6,derek59@example.com,Samuel,Bailey,1991-05-18,Other,Divorced,0,1,1,0,1,1
mary89,ltYfb_oQ)3,christopher89@example.net,Crystal,Frye,1944-08-14,Male,Single,0,0,0,0,1,1
fgriffin,_0IZAq9uDq,baileyandrea@example.com,Cheryl,Delgado,1995-06-23,Female,Married,0,1,0,1,1,1
watkinssarah,kR+1WLLo3*,scastro@example.org,Cassandra,Brown,1983-09-17,Female,Single,0,0,0,0,1,0
ramoscarl,!NBL&QVz28,suttonsteven@example.net,Cynthia,Washington,1958-08-20,Female,Single,0,1,0,1,1,1
usmith,^(W1HxEro1,brittany90@example.net,Patrick,Weaver,1965-11-07,Male,Divorced,1,1,1,0,0,0
foxbrandon,+2Yw3f4huv,chernandez@example.com,Lisa,Lewis,1979-07-08,Female,Single,0,1,1,0,1,1
wedwards,05pBCXok!Z,ruizlisa@example.net,Angel,Martin,1992-09-24,Other,Married,0,1,0,1,0,1
stephanie87,LfG^5EJz#J,michaellester@example.org,Emily,Stuart,1994-01-26,Male,Married,1,0,0,0,0,0
morganlowe,&6ZXbHDpOS,millerdawn@example.net,Danielle,Barrett,1965-06-12,Other,Married,0,1,0,1,1,1
michelle07,xfZ!1$Mm!1,lovebryan@example.com,Shelley,Sharp,1991-01-23,Male,Married,1,1,0,1,1,0
thomaselizabeth,f^8ZUtL$%m,loweryeric@example.net,Jesse,Rogers,1959-09-09,Other,Married,0,1,1,0,0,0
taylorsmith,^t91FjktJQ,caitlincooper@example.net,Andrew,Wright,1973-04-08,Other,Single,1,0,0,0,1,0
mark72,+5k5jL84b3,lindsey60@example.net,Chad,Wallace,1987-05-23,Female,Married,1,1,1,0,0,0
angelacortez,%A3A50pfN3,robertsonmolly@example.com,Melinda,Burton,1946-10-04,Female,Married,0,1,1,1,0,0
charlesrogers,v9AZ7TeD#o,aaronchambers@example.net,David,Hansen,1972-06-01,Male,Married,0,1,1,1,1,0
brianavila,&5nGsiLFDV,samuel94@example.org,Jessica,Zavala,1983-02-19,Other,Married,0,1,1,1,0,1
penacameron,96A+vWuF*8,sphillips@example.com,Cassandra,Jones,1971-07-12,Male,Divorced,0,0,0,0,1,0
sanchezrobert,t+D2UBp6cm,ekemp@example.net,Richard,Allen,1997-09-25,Male,Married,1,0,0,1,1,1
john83,V%f9ESNs$*,amurphy@example.net,Shelly,Chase,1987-05-12,Male,Married,0,1,1,0,1,1
travishughes,4*cKb2Xy#1,ygarcia@example.net,Julie,Miller,1987-10-13,Male,Divorced,1,0,0,0,0,0
dukesherry,#5USP^4koQ,lmartinez@example.com,Thomas,Curtis,1947-10-11,Other,Single,1,0,0,1,1,1
richteresa,+jw7UKN^t8,lmorales@example.net,Robert,Garza,1980-07-20,Female,Single,0,0,1,0,0,0
michelle76,gopSoMDo!1,nbeltran@example.org,Katherine,Goodman,1944-11-20,Male,Divorced,0,1,0,1,1,1
tdean,0uXoY7%a#7,vincent27@example.org,Elizabeth,Snyder,1975-06-08,Female,Single,0,0,0,0,0,0
kristopher08,e4DjTDFop&,maddensandra@example.org,William,Trevino,1998-06-12,Male,Single,0,0,0,1,0,1
joshua06,P&Gun#Bj17,joshuarichardson@example.net,Cameron,Blackwell,1970-01-27,Female,Married,1,1,1,1,0,1
cheath,$EhrH7MzW6,nataliethompson@example.com,Desiree,Navarro,1969-12-04,Female,Single,1,0,0,0,1,1
leroy59,S4Am1AUT*u,xpearson@example.com,Jeanette,Rivas,2004-01-29,Female,Divorced,1,1,0,0,1,0
ramosmary,&nUWtX_VT0,bryancain@example.com,Tony,Davidson,1956-12-13,Male,Divorced,1,1,0,1,1,1
linda24,(5D9nzQnh0,bautistaelizabeth@example.com,Gary,Ruiz,1978-09-28,Male,Married,1,0,0,1,0,1
jessicaknight,1NX$A%%k^f,paula49@example.net,Mary,Brown,1975-05-03,Other,Married,0,0,1,0,0,1
joseph82,&TP1fq4y4b,obenton@example.net,Jeffrey,Beard,1947-02-16,Female,Single,0,0,0,0,0,1
brandon78,)9PkVMlb45,eleon@example.org,Mike,Bowen,1959-02-20,Male,Single,1,1,1,1,1,1
james85,$93uIroAuL,hamiltonsharon@example.net,Matthew,West,1957-03-23,Male,Divorced,0,0,0,1,0,1
jocelynyoung,k2FUA$yg)4,drewlin@example.org,Carla,Lane,1990-06-06,Other,Divorced,1,1,0,0,1,0
sheenabrady,Z8EV9VLq&n,rebeccamueller@example.org,Kelli,Johnson,1959-03-22,Female,Married,0,0,1,1,0,1
alyssapierce,!a1U$6YiK7,dunlapdawn@example.org,Jerry,Morales,1953-12-07,Female,Divorced,0,1,1,0,1,1
lauren78,nq@5iWi(PW,jasonkennedy@example.com,Katie,Anderson,1981-02-04,Male,Married,1,0,1,0,0,0
pbarnett,^SQD2W2Wv2,millerlauren@example.net,Deborah,Harrison,1973-02-18,Female,Married,0,1,1,1,1,1
zking,&ZH7teCbbP,ahernandez@example.com,Melissa,Patterson,1970-08-06,Male,Single,1,0,1,0,0,0
kiara58,9r04f4Bp^M,nhenry@example.net,Mark,Martin,1967-05-20,Female,Single,1,0,1,0,0,0
fowlererica,Fi1Jbjo1(%,foxlaura@example.net,James,Gordon,1947-05-20,Other,Married,0,0,1,0,0,1
burnsshari,!r2ZD$qobS,jesse82@example.net,Wendy,Miller,2006-07-19,Female,Single,0,0,0,1,1,1
ycurry,&d5d5SNFp7,michelle80@example.com,Kenneth,Adkins,1994-08-15,Female,Married,1,1,1,1,0,0
katelynjones,y)4LdyyZtY,lprice@example.org,Janice,Bryant,1994-09-03,Other,Single,0,0,0,0,1,1
donnaanderson,1SC4AiJWC*,scotttimothy@example.org,Barbara,Mcmillan,1946-07-11,Female,Divorced,1,1,1,0,1,1
elizabethfitzgerald,O52arEdr@A,kevin33@example.org,Sandra,Rodriguez,1945-09-01,Female,Divorced,0,0,1,0,1,1
andrea84,&aq%MFbnB1,frobinson@example.net,Benjamin,Hernandez,1977-12-23,Male,Single,1,1,0,1,0,0
heidigreen,g441ePYw#%,matthew57@example.org,Melissa,Garrett,1999-12-23,Other,Married,0,1,0,0,1,1
alexandramorris,1&)y#Mdx*0,makayla01@example.net,Wendy,White,1972-12-16,Other,Married,0,0,1,1,1,1
miguelhutchinson,$2SKtStYoc,alyssafuentes@example.com,Tina,Nguyen,1972-06-29,Female,Divorced,1,1,1,0,1,0
kboyle,c*5RGhD%ID,matthewdean@example.org,Lori,Price,1999-07-16,Other,Married,1,1,0,0,0,0
ricejesse,J9sHSNe%+H,holdenjulie@example.com,Mark,Bennett,1986-04-17,Other,Divorced,1,0,1,0,0,1
markgonzales,(KpIalwnH1,henryeddie@example.com,Christina,Lozano,1969-03-14,Other,Single,1,0,1,0,0,0
maurice19,@XjNvCCTt1,emily41@example.net,Guy,Baxter,1973-01-10,Other,Single,1,1,1,0,1,0
brandi75,i)^&08YcoK,garciashelly@example.net,Megan,Zuniga,1982-01-01,Female,Divorced,1,1,1,1,1,0
rhodge,)c6IxdmEq@,hansenmark@example.net,Brittany,Riley,1966-06-21,Other,Divorced,1,0,0,0,0,0
jonathancampbell,%bBR#OE(O4,hernandezaustin@example.com,James,Tran,1952-09-01,Male,Married,0,0,1,0,1,1
gmcdonald,Dzm!w*nP&8,ronald08@example.org,Carol,Trujillo,1996-01-08,Male,Married,0,0,0,0,1,0
nicholas92,^3GqbXMh!r,tabitha12@example.org,Todd,Johnson,1995-01-03,Male,Single,1,1,0,1,1,1
stevenholt,$&Oa+e&M75,diazthomas@example.org,Paula,Buck,1984-10-08,Male,Married,1,1,0,0,1,0
kcontreras,9PJb+Qq$$*,jennifer23@example.net,Amanda,Moran,1956-04-18,Male,Divorced,1,1,1,0,1,1
rmedina,HVX!YWbf_3,barneswesley@example.org,Michael,Hampton,1957-11-04,Other,Married,1,0,1,1,0,1
deborahhicks,)28_Pe#@J3,kathleengraves@example.com,Kristen,Fowler,1988-08-11,Other,Divorced,1,0,0,1,0,1
dennismelissa,ET(4gQ+wV_,greenalexandra@example.net,Whitney,Simon,1966-06-05,Other,Single,1,1,0,0,0,0
burgessallen,d5OB1sDb+H,uking@example.net,Diane,Miller,1947-06-19,Male,Divorced,1,0,1,0,0,1
amber51,^3$tHhPe3R,oandrews@example.com,Jessica,Warren,1995-01-10,Other,Single,0,0,0,0,1,0
cevans,VV8%F7mV9&,charles82@example.net,Jared,Brown,1988-09-04,Female,Divorced,1,0,0,1,0,1
zthomas,%#4!UgP0t1,ashlee49@example.org,Lisa,Martinez,1999-02-27,Male,Single,0,0,1,0,0,0
bryantjulie,l296wXaJ!W,smontoya@example.net,Michelle,Davidson,1972-03-05,Female,Single,0,0,0,1,1,1
keithjones,6I(FU)wm@5,nbarnes@example.org,Shane,Richard,1984-01-31,Male,Married,1,1,1,1,1,0
charlesmichael,)41XNPXm*J,jonescarrie@example.org,David,Walsh,1970-07-23,Other,Divorced,0,0,1,0,0,1
ksteele,xz_8$bLh85,narmstrong@example.com,Courtney,Chavez,1953-02-24,Male,Married,0,1,0,1,0,0
cynthia38,Zq_i1FDb_Y,jennifergibbs@example.com,Zachary,Phillips,1996-02-23,Male,Single,0,0,1,1,0,0
haynesgregory,%A7ZPzwU8@,neil18@example.org,Mary,Jimenez,2006-07-09,Male,Married,0,0,0,0,1,0
matthewsmith,#Eh6G6Gtx6,troy84@example.org,Tara,Ryan,1996-11-19,Female,Single,0,1,0,1,1,1
rebecca95,w#bc9dMf(6,wilsontimothy@example.net,John,Wood,1953-07-01,Other,Single,1,0,0,1,1,0
jeffreyboone,@6h49TY6z_,garciajames@example.com,Andrew,Robinson,1997-03-15,Female,Divorced,0,1,1,1,0,1
steinmark,&gIzl83tE1,ngreen@example.com,Chad,Davis,2005-11-25,Female,Divorced,1,0,0,1,0,0
brittanykennedy,@Ay2TC4tV(,feliciavaldez@example.org,Sandra,Ramirez,1995-09-28,Male,Single,0,0,1,0,0,0
tlopez,V9Ot*144)k,hvaldez@example.org,Ashley,Lucas,1944-04-18,Male,Divorced,1,0,0,0,0,0
sean58,a$#w(6Vq(b,raymichelle@example.net,Kendra,Norman,1968-02-15,Male,Single,1,0,1,0,0,0
maryyoung,#zNf9N8nx8,kerri69@example.net,Nancy,Vasquez,2004-09-01,Other,Divorced,1,1,0,1,1,0
yvillanueva,%9Uu!sHsQI,cynthia63@example.org,Elizabeth,Lopez,1987-10-27,Other,Married,0,1,0,1,0,1
jason66,!tT(RC4yx1,sarahthomas@example.com,Devin,Dennis,1985-05-05,Male,Single,0,0,1,1,1,0
petersbrianna,!(IoTTd^1z,ylee@example.com,Kristina,Roman,1982-03-17,Other,Married,0,1,1,1,1,0
thomasjoshua,tCr1QIb6)U,stephanietaylor@example.org,Yolanda,Smith,2004-03-20,Female,Married,0,0,0,1,1,0
wareheidi,7uGD6Bqa+J,samuel47@example.net,Chad,Wilson,1992-07-19,Male,Married,0,1,1,0,0,0
riverasamantha,q8eVP#AK!y,edwardthomas@example.org,Tonya,Clark,2001-03-11,Female,Married,0,0,0,1,1,1
ogeorge,_3^Bnoz6r2,gonzalezashley@example.net,Kelly,Bird,1996-04-24,Other,Married,1,1,0,0,0,1
melindamyers,9)3jIPyq&1,michaelparker@example.net,Edward,Davila,1954-09-12,Male,Divorced,0,1,1,0,0,1
wproctor,_Ct_y7#k3s,fosterstephanie@example.net,Paul,Rodgers,1950-04-03,Other,Single,0,1,0,0,1,0
alexismelendez,*W+mE5e!p+,timothy68@example.org,Ashley,Rivera,1965-07-22,Female,Divorced,1,1,1,0,1,0
kmejia,)ujzerB(a0,michael11@example.net,Robin,Martin,1983-03-20,Female,Divorced,1,0,0,1,1,1
aaustin,l*CR4Anjrq,toddroger@example.net,Mark,Potter,1977-01-22,Other,Divorced,0,1,0,1,0,0
xlane,!k3A(w7qk0,marksmith@example.org,Scott,Wood,2001-01-08,Male,Married,1,1,0,0,0,1
todd53,CV38DoUlE*,yperez@example.net,Dorothy,Perez,1986-11-01,Male,Married,0,0,0,0,1,1
anne63,e$_I4ZmG6g,imoran@example.net,Jacob,Stone,1998-10-14,Other,Single,1,1,0,0,1,1
jenniferjohnson,h1_JgVac_1,vkim@example.net,Jacob,Murray,1983-10-07,Male,Married,1,0,0,1,0,1
martinezsherry,C1bZqHNa+S,xjohnson@example.net,Christopher,Hernandez,1964-03-28,Male,Divorced,1,1,1,1,0,0
andrewsteresa,mkRKvp)w^4,hallcynthia@example.com,Richard,York,1951-10-10,Male,Single,0,1,1,0,1,0
douglas61,St1B@qU6@c,wpalmer@example.com,Sara,Dennis,1976-04-27,Male,Single,1,1,0,1,0,1
ssimmons,+ZA4#KQr^6,njones@example.com,John,Davis,1995-04-19,Other,Single,0,1,0,1,0,0
jennifersmith,@i6Nd#ni#5,durhamkristy@example.com,Madison,Hayes,1959-06-10,Other,Single,1,1,1,0,0,0
alisonanderson,x26RZplo_5,lewisbruce@example.org,Anthony,Gill,1968-03-07,Other,Married,0,1,1,0,1,1
justinward,@8UJqTLoXt,davidwilson@example.org,Mary,Parker,1954-06-25,Male,Married,0,1,0,0,0,0
sandraparker,cQ1@6FtDT+,james75@example.net,Joshua,Kelly,1996-06-20,Male,Divorced,0,1,0,0,0,1
jasminedurham,#6P8%Jxv^0,sethmiddleton@example.com,Darryl,Garrett,2000-09-15,Male,Divorced,0,1,0,1,0,0
iroach,)OUfadYhy5,cmiller@example.org,Christina,King,1978-03-21,Male,Single,1,0,1,1,1,1
hansenernest,UXVKv2Sw^2,brownkyle@example.net,Derek,Larson,1951-02-18,Other,Married,0,0,0,1,1,0
kriggs,_3lV^rx#c@,schultzlauren@example.net,Brenda,Robinson,1946-11-08,Male,Divorced,0,1,0,1,0,1
david94,%pfoRVrCK1,julie60@example.com,Walter,Anderson,1985-08-12,Other,Single,0,1,0,0,1,0
goodwinjohn,Du9Tqvoxm%,murphyallison@example.com,Julia,Gray,1956-04-08,Male,Married,1,1,1,1,1,0
gary86,L$l70Sq2(+,wileycarolyn@example.net,Gloria,Frazier,1986-01-11,Male,Married,1,0,1,0,0,1
jonathanwilliamson,Kn6DziehJ!,danielle80@example.net,Benjamin,Navarro,1946-10-01,Male,Married,1,0,0,0,0,1
carlos39,Ll9Mrr1zl#,stacey59@example.net,Rhonda,Morales,1961-11-10,Other,Divorced,1,1,0,1,0,0
susan24,_2++UQlUFy,jessica12@example.org,Daniel,Atkinson,1985-07-15,Male,Divorced,1,1,0,0,1,0
andrewalvarado,ox57Ai!1j_,kacosta@example.com,Hannah,Marks,1959-03-12,Male,Divorced,1,0,0,1,1,1
dwagner,)ep$4G8dWL,jamesdavis@example.org,Rebecca,Todd,1983-08-23,Other,Divorced,1,1,1,1,1,0
theresa77,+yPq^RmH)8,pedwards@example.com,Ann,Mcmillan,2004-04-21,Female,Single,1,1,0,1,0,0
ronaldbell,0QYZnGmo@&,iwilliams@example.org,Amanda,Carter,1956-02-07,Male,Single,1,1,1,1,0,1
gregoryjordan,_3y1DT5zt%,juan97@example.org,Robert,Harrington,1949-08-11,Female,Single,1,1,1,1,1,0
montoyachristopher,^x9W#DUq!_,cochranamanda@example.com,Joel,Francis,1962-05-13,Female,Single,1,1,1,1,0,0
qanderson,X&5#GBihQ),padillaandrea@example.com,John,Rogers,1979-07-18,Other,Married,0,1,1,0,0,0
thomaskristina,z(5AnkEx#d,mwhite@example.org,Kristin,Scott,1998-12-21,Male,Divorced,0,1,0,1,1,0
micheal08,a(5F+Dlp_8,daniellemyers@example.net,Cheryl,Castro,1950-08-16,Male,Divorced,1,1,1,1,1,1
tiffany59,TuR6pkO^*5,john73@example.com,Jonathan,Lewis,1974-07-22,Other,Married,0,1,0,0,1,1
jonesmatthew,!EN^&l6w&2,bradmoore@example.net,Kelly,Luna,1967-11-30,Female,Married,0,0,1,1,0,0
josephmartinez,!1cQMbo!ig,kenneth40@example.com,Latoya,Davis,1968-01-09,Male,Married,0,1,1,1,1,0
gwendolyn48,SpNoIv#y#6,tuckerdestiny@example.net,Brian,Mills,1970-02-06,Female,Married,0,1,0,0,1,0
huntkimberly,240P#ys7!@,carterdouglas@example.net,Marvin,Morton,1974-03-07,Other,Single,0,0,0,0,0,0
eadams,UU2xI)n@!4,candrews@example.net,Valerie,Coleman,1974-03-28,Male,Single,0,1,0,0,0,0
samanthaoneal,k00CoXOx!u,lindseybarnett@example.net,Brooke,Michael,1960-03-02,Male,Single,1,0,0,1,0,0
andrea11,7uL#AIwy)d,annayates@example.net,John,Briggs,1990-02-02,Female,Single,1,0,0,0,1,0
wigginsyvonne,^KQb#&!x5&,traci94@example.org,Sharon,Sullivan,1993-02-18,Female,Divorced,0,0,1,1,1,0
